[2025-09-18T07:51:08.665Z] [ERROR] Admin token verification error | {"error":"Access token verification failed: jwt expired","tokenPrefix":"eyJhbGciOiJIUzI1NiIs...","endpoint":"/api/admin/logout"}
[2025-09-18T08:35:52.968Z] [ERROR] Admin token verification error | {"error":"Access token verification failed: jwt expired","tokenPrefix":"eyJhbGciOiJIUzI1NiIs...","endpoint":"/api/admin/logout"}
[2025-09-18T09:06:45.422Z] [ERROR] Admin token verification error | {"error":"Access token verification failed: Invalid token type","tokenPrefix":"eyJhbGciOiJIUzI1NiIs...","endpoint":"/api/admin/products?page=1&limit=20"}
[2025-09-18T09:06:45.453Z] [ERROR] Admin token verification error | {"error":"Access token verification failed: Invalid token type","tokenPrefix":"eyJhbGciOiJIUzI1NiIs...","endpoint":"/api/admin/categories?limit=100"}
[2025-09-18T09:07:05.794Z] [ERROR] Admin token verification error | {"error":"Access token verification failed: Invalid token type","tokenPrefix":"eyJhbGciOiJIUzI1NiIs...","endpoint":"/api/admin/products"}
[2025-09-18T09:08:59.813Z] [ERROR] Admin token verification error | {"error":"Access token verification failed: Invalid token type","tokenPrefix":"eyJhbGciOiJIUzI1NiIs...","endpoint":"/api/admin/products?page=1&limit=20"}
[2025-09-18T09:08:59.826Z] [ERROR] Admin token verification error | {"error":"Access token verification failed: Invalid token type","tokenPrefix":"eyJhbGciOiJIUzI1NiIs...","endpoint":"/api/admin/categories?limit=100"}
[2025-09-18T09:09:18.605Z] [ERROR] Admin token verification error | {"error":"Access token verification failed: Invalid token type","tokenPrefix":"eyJhbGciOiJIUzI1NiIs...","endpoint":"/api/admin/products?page=1&limit=20"}
[2025-09-18T09:09:18.627Z] [ERROR] Admin token verification error | {"error":"Access token verification failed: Invalid token type","tokenPrefix":"eyJhbGciOiJIUzI1NiIs...","endpoint":"/api/admin/categories?limit=100"}
[2025-09-18T09:09:23.168Z] [ERROR] Admin token verification error | {"error":"Access token verification failed: Invalid token type","tokenPrefix":"eyJhbGciOiJIUzI1NiIs...","endpoint":"/api/admin/products?page=1&limit=20"}
[2025-09-18T09:09:23.183Z] [ERROR] Admin token verification error | {"error":"Access token verification failed: Invalid token type","tokenPrefix":"eyJhbGciOiJIUzI1NiIs...","endpoint":"/api/admin/categories?limit=100"}
[2025-09-18T09:09:42.249Z] [ERROR] Admin token verification error | {"error":"Access token verification failed: Invalid token type","tokenPrefix":"eyJhbGciOiJIUzI1NiIs...","endpoint":"/api/admin/products"}
[2025-09-18T09:10:39.644Z] [ERROR] Admin token verification error | {"error":"Access token verification failed: Invalid token type","tokenPrefix":"eyJhbGciOiJIUzI1NiIs...","endpoint":"/api/admin/products?page=1&limit=20"}
[2025-09-18T09:10:39.649Z] [ERROR] Admin token verification error | {"error":"Access token verification failed: Invalid token type","tokenPrefix":"eyJhbGciOiJIUzI1NiIs...","endpoint":"/api/admin/categories?limit=100"}
[2025-09-18T09:10:55.700Z] [ERROR] Admin token verification error | {"error":"Access token verification failed: Invalid token type","tokenPrefix":"eyJhbGciOiJIUzI1NiIs...","endpoint":"/api/admin/products?page=1&limit=20"}
[2025-09-18T09:10:56.171Z] [ERROR] Admin token verification error | {"error":"Access token verification failed: Invalid token type","tokenPrefix":"eyJhbGciOiJIUzI1NiIs...","endpoint":"/api/admin/categories?limit=100"}
[2025-09-18T09:21:09.624Z] [ERROR] Failed to upload from buffer | {"error":"Empty file"}
[2025-09-18T09:26:19.786Z] [ERROR] Failed to upload from buffer | {"error":"Empty file"}
[2025-09-18T09:28:43.564Z] [ERROR] Failed to upload from buffer | {"error":"Empty file"}
[2025-09-18T09:39:22.543Z] [ERROR] Failed to upload from buffer | {"error":"Empty file"}
[2025-09-18T09:43:45.367Z] [ERROR] Failed to upload from buffer | {"error":"Empty file"}
[2025-09-18T09:49:52.715Z] [ERROR] Failed to upload from buffer | {"error":"Empty file"}
[2025-09-18T09:50:29.138Z] [ERROR] Failed to upload from buffer | {"error":"Empty file"}
[2025-09-18T09:55:44.365Z] [ERROR] Failed to upload from buffer | {"error":"Empty file"}
[2025-09-18T10:04:36.865Z] [ERROR] Failed to upload from buffer | {"error":"Unknown API key your_api_key_here"}
[2025-09-18T10:20:15.901Z] [ERROR] Admin token verification error | {"error":"Access token verification failed: jwt expired","tokenPrefix":"eyJhbGciOiJIUzI1NiIs...","endpoint":"/api/admin/dashboard"}
[2025-09-18T10:20:20.028Z] [ERROR] Admin token verification error | {"error":"Access token verification failed: jwt expired","tokenPrefix":"eyJhbGciOiJIUzI1NiIs...","endpoint":"/api/admin/logout"}
[2025-09-18T10:24:25.132Z] [ERROR] Failed to upload from buffer | {"error":"Unknown API key your_api_key_here"}
[2025-09-18T10:26:57.452Z] [ERROR] Failed to upload from buffer | {"error":"Unknown API key your_api_key_here"}
[2025-09-18T10:28:21.391Z] [ERROR] Failed to upload from buffer | {"error":"Empty file"}
[2025-09-18T10:29:03.067Z] [ERROR] Failed to upload from buffer | {"error":"Empty file"}
[2025-09-18T10:29:58.681Z] [ERROR] Failed to upload from buffer | {"error":"Empty file"}
[2025-09-18T10:30:44.594Z] [ERROR] Failed to upload from buffer | {"error":"Empty file"}
[2025-09-18T10:31:27.994Z] [ERROR] Admin token verification error | {"error":"Cannot call `admins.findOne()` before initial connection is complete if `bufferCommands = false`. Make sure you `await mongoose.connect()` if you have `bufferCommands = false`.","tokenPrefix":"eyJhbGciOiJIUzI1NiIs...","endpoint":"/api/admin/products?page=1&limit=20"}
[2025-09-18T10:31:28.130Z] [ERROR] Admin token verification error | {"error":"Cannot call `admins.findOne()` before initial connection is complete if `bufferCommands = false`. Make sure you `await mongoose.connect()` if you have `bufferCommands = false`.","tokenPrefix":"eyJhbGciOiJIUzI1NiIs...","endpoint":"/api/admin/categories?limit=100"}
[2025-09-18T10:37:47.501Z] [ERROR] Failed to upload from buffer | {"error":"Empty file"}
[2025-09-18T10:38:33.084Z] [ERROR] Failed to upload from buffer | {"error":"Empty file"}
[2025-09-18T11:00:19.039Z] [ERROR] Image upload error:
[2025-09-18T11:00:54.308Z] [ERROR] Image upload error:
[2025-09-18T12:15:23.048Z] [ERROR] Admin token verification error | {"error":"Access token verification failed: jwt expired","tokenPrefix":"eyJhbGciOiJIUzI1NiIs...","endpoint":"/api/admin/products/68cbf133788c077d9aac37c7"}
[2025-09-18T12:32:20.790Z] [ERROR] Admin token verification error | {"error":"Access token verification failed: jwt expired","tokenPrefix":"eyJhbGciOiJIUzI1NiIs...","endpoint":"/api/admin/products/68cbe6dd788c077d9aac3138"}
[2025-09-18T12:32:28.803Z] [ERROR] Admin token verification error | {"error":"Access token verification failed: jwt expired","tokenPrefix":"eyJhbGciOiJIUzI1NiIs...","endpoint":"/api/admin/products/68cbe6dd788c077d9aac3138"}
[2025-09-18T13:50:22.947Z] [ERROR] Admin token verification error | {"error":"Cannot call `admins.findOne()` before initial connection is complete if `bufferCommands = false`. Make sure you `await mongoose.connect()` if you have `bufferCommands = false`.","tokenPrefix":"eyJhbGciOiJIUzI1NiIs...","endpoint":"/api/admin/products?page=1&limit=20"}
[2025-09-18T13:50:22.959Z] [ERROR] Admin token verification error | {"error":"Cannot call `admins.findOne()` before initial connection is complete if `bufferCommands = false`. Make sure you `await mongoose.connect()` if you have `bufferCommands = false`.","tokenPrefix":"eyJhbGciOiJIUzI1NiIs...","endpoint":"/api/admin/categories?limit=100"}
[2025-09-18T13:50:22.990Z] [ERROR] Token refresh failed | {"error":"Cannot call `admins.findOne()` before initial connection is complete if `bufferCommands = false`. Make sure you `await mongoose.connect()` if you have `bufferCommands = false`.","ip":"::1"}
